fold,task,kind,model,subset,n_features,macro_score,balanced_accuracy,macro_f1,rows,r2,mse
4,attention_primary,classification,logistic,compact_no_noise,9,0.31949938702323843,0.3195215192995437,0.3111525928970024,2707,,
4,attention_primary,classification,random_forest,full,18,0.3325322311091317,0.33242748613267165,0.32933765007274024,2707,,
4,attention_primary,classification,random_forest,EEG,9,0.3497868393606755,0.3498073794385386,0.34083311139207223,2707,,
4,attention_primary,classification,random_forest,compact_no_noise,9,0.33131690809842734,0.33094846831521846,0.32953646555280597,2707,,
4,attention_primary,regression,dummy,full,18,-1.0000000008364112,,,2707,0.0,1.0000000008498349
4,attention_primary,regression,ridge,full,18,-1.0118145552898872,,,2707,-0.011814617939240213,1.0118146187991157
4,attention_primary,regression,ridge,EEG,9,-1.0006692157879264,,,2707,-0.0006546019105313494,1.0006546027609227
4,attention_primary,regression,ridge,compact_no_noise,9,-1.0088744809838381,,,2707,-0.008869073231212665,1.0088690740885848
4,attention_primary,regression,random_forest,full,18,-1.0612195365926396,,,2707,-0.06089650930850077,1.0608965102100878
4,attention_primary,regression,random_forest,EEG,9,-1.0379996892338499,,,2707,-0.03778998961022784,1.037789990492178
4,attention_primary,regression,random_forest,compact_no_noise,9,-1.062110255465861,,,2707,-0.062084228376008355,1.0620842292786046
4,arousal_primary_6s,classification,dummy,full,25,0.36666666666666664,0.3333333333333333,0.20640992943976877,2707,,
4,arousal_primary_6s,classification,logistic,full,25,0.3666802912277468,0.35736877056133043,0.35473256811191806,2707,,
4,arousal_primary_6s,classification,logistic,Pupil,6,0.3704028307733172,0.35535307647183617,0.34225321529920244,2707,,
4,arousal_primary_6s,classification,logistic,Eye_Pupil,16,0.35293766122754644,0.3432882194029801,0.3393346715465588,2707,,
4,arousal_primary_6s,classification,logistic,Pupil_no_quality,5,0.3643129305609092,0.3558277852494016,0.3426806397274082,2707,,
4,arousal_primary_6s,classification,logistic,Eye_Pupil_no_quality,15,0.34986768234807375,0.3436366952701282,0.3400903991698005,2707,,
4,arousal_primary_6s,classification,random_forest,full,25,0.3540787275706158,0.33244481427231776,0.32563532122620814,2707,,
4,arousal_primary_6s,classification,random_forest,Pupil,6,0.3610478532528457,0.34191525956344426,0.33777121551862505,2707,,
4,arousal_primary_6s,classification,random_forest,Eye_Pupil,16,0.34433395789533544,0.34450293213272837,0.3401138339210063,2707,,
4,arousal_primary_6s,classification,random_forest,Pupil_no_quality,5,0.34525242810230267,0.33895571427614607,0.3357873449623914,2707,,
4,arousal_primary_6s,classification,random_forest,Eye_Pupil_no_quality,15,0.3463592451326851,0.3344376076792492,0.3315248362124393,2707,,
4,arousal_primary_6s,regression,dummy,full,25,-0.9999999988091588,,,2707,2.220446049250313e-16,0.9999999988179339
4,arousal_primary_6s,regression,ridge,full,25,-1.004157931415634,,,2707,-0.004163771959764917,1.0041637707727773
4,arousal_primary_6s,regression,ridge,Pupil,6,-0.999000593118631,,,2707,0.0009629161838494715,0.9990370826352228
4,arousal_primary_6s,regression,ridge,Eye_Pupil,16,-1.0001805704817417,,,2707,-0.00021681491067093717,1.0002168137283487
4,arousal_primary_6s,regression,ridge,Pupil_no_quality,5,-0.9975796762617201,,,2707,0.0023699919727953045,0.9976300068479402
4,arousal_primary_6s,regression,ridge,Eye_Pupil_no_quality,15,-0.9989345603592623,,,2707,0.0010175763174473662,0.9989824225016896
