variant,participant,loss
drop_fixation_median_ms,P19,-0.006250000000000033
drop_fixation_median_ms,P2,-0.00772295877707746
drop_fixation_median_ms,P35,-0.005555555555555591
drop_fixation_median_ms,P40,0.01632204801938958
drop_fixation_median_ms,P18,-0.002123142250530785
drop_fixation_median_ms,P27,-0.028180421728808913
drop_fixation_median_ms,P36,0.00981552384267309
drop_fixation_median_ms,P46,-0.022959183673469385
drop_fixation_median_ms,P8,-0.0158198526619579
drop_fixation_median_ms,P20,-0.010063691098173788
drop_fixation_median_ms,P3,-0.028985507246376885
drop_fixation_median_ms,P33,-0.015560142185529147
drop_fixation_median_ms,P4,-0.002178649237472685
drop_fixation_median_ms,P9,-0.0117647058823529
drop_fixation_median_ms,P13,-0.016574585635359074
drop_fixation_median_ms,P21,0.017950208272788926
drop_fixation_median_ms,P26,0.0
drop_fixation_median_ms,P34,0.0
drop_fixation_median_ms,P44,0.007305990912548299
drop_saccade_count,P22,-0.00193798449612409
drop_saccade_count,P24,-0.00193798449612409
drop_saccade_count,P30,-0.0016919614909565173
drop_saccade_count,P43,-0.004518092753386993
drop_saccade_count,P48,-0.0016920473773266442
drop_saccade_count,P12,0.002206395754782764
drop_saccade_count,P19,-0.008425052410901412
drop_saccade_count,P2,-0.010896181989422604
drop_saccade_count,P35,-0.007407407407407474
drop_saccade_count,P40,0.03879168875760569
drop_saccade_count,P18,-0.021231422505307906
drop_saccade_count,P27,-0.03464599916212824
drop_saccade_count,P36,0.04110685694396088
drop_saccade_count,P46,-0.015306122448979553
drop_saccade_count,P8,-0.0158198526619579
drop_saccade_count,P20,-0.010063691098173788
drop_saccade_count,P3,0.010351966873705931
drop_saccade_count,P33,-4.5866299736241345e-05
drop_saccade_count,P4,-0.03485838779956418
drop_saccade_count,P9,0.003944501777319143
drop_saccade_count,P13,2.0462451401692672e-05
drop_saccade_count,P21,0.008970260583163803
drop_saccade_count,P26,-0.0019047619047620201
drop_saccade_count,P34,0.013930789707187197
drop_saccade_count,P44,0.014652014652014711
drop_saccade_mean_ms,P22,-0.007774342429538006
drop_saccade_mean_ms,P24,-0.005780346820809301
drop_saccade_mean_ms,P30,-0.001666582068592215
drop_saccade_mean_ms,P43,-6.7941244412672575e-06
drop_saccade_mean_ms,P48,-0.003384094754653122
drop_saccade_mean_ms,P12,-0.004217288088255888
drop_saccade_mean_ms,P19,-0.014661949685534637
drop_saccade_mean_ms,P2,0.013975222777657115
drop_saccade_mean_ms,P35,-0.011111111111111183
drop_saccade_mean_ms,P40,0.01026281905627513
drop_saccade_mean_ms,P18,-0.014861995753715496
drop_saccade_mean_ms,P27,0.041167434715821793
drop_saccade_mean_ms,P36,-0.02938856015779101
drop_saccade_mean_ms,P46,-0.02168367346938771
drop_saccade_mean_ms,P8,-0.0190248348143085
drop_saccade_mean_ms,P20,-0.008664228491814696
drop_saccade_mean_ms,P3,-0.03312629399585931
drop_saccade_mean_ms,P33,-0.0038298360279784283
drop_saccade_mean_ms,P4,-0.023965141612200397
drop_saccade_mean_ms,P9,0.0
drop_saccade_mean_ms,P13,-0.005524861878452969
drop_saccade_mean_ms,P21,-9.687106461264694e-06
drop_saccade_mean_ms,P26,0.0019047619047618536
drop_saccade_mean_ms,P34,0.0078083407275953975
drop_saccade_mean_ms,P44,-0.001801477211313185
drop_eeg_rms_uv,P22,-0.00193798449612409
