task,kind,subset,architecture,seed,split,scope,macro_score,rows,participants,balanced_accuracy,macro_f1,r2,mae,mse
arousal_primary_6s,classification,full,MLP_current,20260908,validation,history_8,0.35621834384998685,1591,8,0.35987600406830184,0.3595202631775279,,,
arousal_primary_6s,classification,full,MLP_current,20260908,test,all,0.35574255116335435,4025,8,0.3499961032578221,0.337907498147777,,,
arousal_primary_6s,classification,full,MLP_current,20260908,test,history_8,0.3064228330321254,1375,8,0.31999148553826245,0.29095284618256273,,,
arousal_primary_6s,regression,full,TCN,20260907,validation,all,-0.999562980240243,4662,8,,,0.0005130175336256482,0.6687482817943372,0.9994869820876078
arousal_primary_6s,regression,full,TCN,20260907,validation,history_8,-0.9114621629923605,1591,8,,,0.004034554191899242,0.6656731218050412,0.9322247585313581
arousal_primary_6s,regression,full,TCN,20260907,test,all,-1.005822353486237,4025,8,,,-0.005416139380762797,0.6534038874205533,1.005416136839703
arousal_primary_6s,regression,full,TCN,20260907,test,history_8,-1.0885273463046294,1375,8,,,-0.010193757497367617,0.7185986306705677,1.088515500669442
arousal_primary_6s,regression,full,TCN,20260908,validation,all,-1.0001293014991517,4662,8,,,-0.001432927759757785,0.6632247165115671,1.0014329273802536
arousal_primary_6s,regression,full,TCN,20260908,validation,history_8,-0.9257748148448972,1591,8,,,-0.017133286757478716,0.6640590517915224,0.9520378810655974
arousal_primary_6s,regression,full,TCN,20260908,test,all,-1.0011123627313403,4025,8,,,-0.000858628528731975,0.6459804781020594,1.0008586259991905
arousal_primary_6s,regression,full,TCN,20260908,test,history_8,-1.0823639956761373,1375,8,,,-0.0031611199574230753,0.7161702906545058,1.0809376128474226
