task,kind,model,feature,importance,bootstrap_low,bootstrap_high,repeat_sd,positive_participants,participants,pooled_importance,shifted_fraction,metric
arousal_primary_6s,classification,random_forest,fixation_mean_ms,0.0023216814865330204,-0.0028402108536002032,0.007018189386713649,0.002284379875890626,6,8,0.0035143150447894457,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,fixation_median_ms,0.0017045201136364908,-0.0027938412660795794,0.005323802963446093,0.00223562610494527,5,8,0.0031724330656812847,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,saccade_count,0.0012967317007524127,-0.0010812741355590023,0.003888496095272662,0.0014321556804134201,4,8,0.002081060000761664,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,saccade_mean_ms,0.001610406970081665,-0.0026329854626890013,0.006597955538804759,0.0022201460573457086,4,8,0.0031199046639916904,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,pupil_both_valid_fraction,2.3528429151963622e-05,-0.0027889079608883977,0.003212573840423379,0.002219341324327201,4,8,0.0017880387429042577,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,pupil_mean_z,0.0010697690779300829,-0.0073414621620585836,0.00923325895313069,0.002488408947361199,4,8,0.00443437393413394,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,pupil_std_z,0.0005871854549100632,-0.004444275120412435,0.006162128196620167,0.00229383566805562,4,8,0.0019034937532757979,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,pupil_min_z,0.0054208832292218945,0.0004448294023077936,0.010814112161612122,0.0016838629896481934,6,8,0.0061299690173801154,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,pupil_max_z,0.0033637008865671537,-0.004319857415846262,0.008439497027427488,0.002430651813794229,7,8,0.005546379200976126,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,pupil_slope_z_s,-0.003223078082904905,-0.01001946792371427,0.0031385046460265546,0.0016839740365127236,3,8,0.0007159585347941144,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,modalidad:EEG,-0.00620651536230816,-0.013399551458235355,0.00100162614480196,0.00511159993623305,2,8,-0.00203195976999202,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,modalidad:Eye,-0.0008959084120875472,-0.013494499337884219,0.012861048716141318,0.004872918404191356,4,8,0.004940220107422078,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,classification,random_forest,modalidad:Pupil,0.0030581507227893656,-0.004547530775459091,0.01135978260657567,0.004816661327472698,4,8,0.007316859508667334,0.95002145002145,delta_balanced_accuracy
arousal_primary_6s,regression,ridge,eeg_rms_uv,0.0005052936355658108,-0.0005843619684985014,0.0018731771035567653,0.00026188019300317614,5,8,0.00028749155746103926,0.95002145002145,increase_mse
arousal_primary_6s,regression,ridge,eeg_std_uv,0.00222468745821692,0.00027131979637442724,0.0044751530029693235,0.0005073326132525424,6,8,0.002459958559091746,0.95002145002145,increase_mse
arousal_primary_6s,regression,ridge,eeg_peak_to_peak_uv,0.00012337522181894988,-0.00040807313393404843,0.0007241249573811536,0.00013009996670703596,5,8,1.0400522182207883e-05,0.95002145002145,increase_mse
arousal_primary_6s,regression,ridge,eeg_delta_relative,0.0030194432568939793,0.0011255102544349067,0.004833976613693998,0.0005552483235921365,7,8,0.0030161024786438673,0.95002145002145,increase_mse
